,Ax,Ay,Az,Gx,Gy,Gz,label
107,13.92,-0.19,2.44,1.75,0.58,-0.72,1
108,7.7,-5.43,0.48,0.58,-0.29,1.06,1
109,6.56,-7.19,7.87,-1.39,-0.81,2.48,1
110,10.13,6.01,6.57,-1.25,0.08,1.25,1
111,3.95,6.98,-1.83,-0.92,0.07,-0.85,1
112,4.91,5.23,-3.23,0.5,0.37,-0.92,1
113,15.59,3.86,5,1.88,0.56,-1.09,1
114,14.88,-0.31,4.13,1.32,1.49,-0.17,1
115,4.99,-6.3,-0.23,-0.06,0.03,1.15,1
116,17.21,-2.09,10.41,-1.34,-0.2,0.68,1
117,9,7.33,4.69,-1.53,-0.79,0.28,1
118,2.36,7.49,0.01,-1.01,-0.53,-0.56,1
119,3.2,4.46,-2.79,0.68,-0.02,-0.94,1
120,15.33,3.83,6.11,2.23,1.38,-1.49,1
121,15.23,-1.25,6.17,1.34,1.37,-0.08,1
122,5.6,-5.64,0.92,-0.48,-0.02,1.55,1
123,21.24,4.17,10.43,-2.18,-0.6,0.6,1
124,6.44,6.9,4.5,-1.28,-0.7,-0.11,1
125,2.06,5.43,1.12,-0.71,-0.19,-0.54,1
126,5.5,6.01,-3.62,1.02,0.99,-0.82,1
127,18.3,3.67,8.72,1.68,0.39,-1.09,1
128,10.4,-2.05,3.99,0.33,0.3,0.32,1
129,8.04,-2.28,3.76,-1.12,-0.28,1.5,1
130,19.56,8.99,11.6,-1.68,0.28,0.66,1
131,9.62,4.81,-0.28,-2.01,-1.28,-0.19,1
132,5.38,3.66,2.46,-1.98,-1.18,0.25,1
133,7.44,1.87,0.76,-1.69,-0.22,0.27,1
134,12.35,3.54,6.36,-1.65,0.62,-0.35,1
135,8.13,3.5,0.37,-1.94,-0.57,-1.56,1
136,5.54,0.17,2.79,-2.73,-0.85,-1.11,1
137,17.77,1.35,10.39,-2.06,-1.01,-1.29,1
138,9.34,3.08,8.43,-1.94,-1.34,-0.75,1
139,7.28,5.59,3.63,-2.98,-0.93,-1.06,1
